id;fecha_inicio;fecha_fin;lenguaje
1;2025-04-09T16:02:52;2025-04-09T06:13:15;PORTUGUES
2;2025-04-09T01:15:39;2025-04-09T07:59:52;INGLES
3;2025-04-09T15:28:48;2025-04-09T03:24:19;ESPANOL
4;2025-04-09T19:00:30;2025-04-09T12:29:59;ESPANOL
5;2025-04-09T10:23:47;2025-04-09T15:50:05;ESPANOL
6;2025-04-09T11:00:39;2025-04-08T23:02:51;INGLES
7;2025-04-09T17:36:44;2025-04-09T11:37:57;PORTUGUES
8;2025-04-09T16:04:07;2025-04-09T12:22:21;ESPANOL
9;2025-04-09T04:37:40;2025-04-08T22:51:15;PORTUGUES
10;2025-04-09T10:53:49;2025-04-09T18:03:25;ESPANOL
